"id","id2","nazov","ico","region","pocetobyvatelov","ppz","urad","ulica","cislo","psc","posta","primator","starosta","prednosta","smerovecislo","telefon","fax","mobil","email","web","id3","zdroj","created","od","do","edited_by","lchange"
"11","00308749","Andovce","00308749","Cergát-Váh","1369","1421","Obecný úrad","Andovce","157","941 23","Andovce",,"Mária Czuczor",,"035","648 31 01","648 31 65",,"ocuandovce@konfer.sk;starostka@konfer.sk","www.andovce.sk","11","http://www.e-obce.sk/obecedit.html?id=11","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"12","00321834","Andrejová","00321834","Horný Šariš","347","1355","Obecný úrad",,"39","086 37","Šarišské Čierne",,"Milana Gerženiová",,"054","472 20 53","472 20 53","0905 768 621","obecandrejova@gmail.com","www.andrejova.ocu.sk","12","http://www.e-obce.sk/obecedit.html?id=12","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"13","00699110","Ardanovce","00699110","Nitriansky","225","1317","Obecný úrad","Ardanovce","11","956 06","Šalgovce",,"Ľubomíra Ondrejková",,"038","539 82 77",,"0904 558 228","ouardanovce@wircom.sk","www.ardanovce.ocu.sk","13","http://www.e-obce.sk/obecedit.html?id=13","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"14","00328090","Ardovo","00328090","Horný Gemer","156","1293","Obecný úrad",,"34","049 55","Dlhá Ves",,"Daniel Fabián",,"058","792 12 23","792 12 23","0911 460 138","obecardovo@mail.t-com.sk",,"14","http://www.e-obce.sk/obecedit.html?id=14","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"15","00328928","Arnutovce","00328928","Spišský","711","1317","Obecný úrad",,"64","053 13","Letanovce",,"Elena Šarišská",,"053","449 11 24","449 11 24","0907 976 462","arnutovce@gmail.com","www.arnutovce.ocu.sk","15","http://www.e-obce.sk/obecedit.html?id=15","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"16","00307742","Báb","00307742","Nitriansky","1037","1156","Obecný úrad","Báb","465","951 34","Báb",,"Peter Nemeček",,"037","658 81 21, 658 83 75","658 88 61","0911 203 031","obecbab@obecbab.sk;peter.nemecek@obecbab.sk","www.obecbab.sk","16","http://www.e-obce.sk/obecedit.html?id=16","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"17","00314382","Babín","00314382","Biela Orava","1416","1564","Obecný úrad","Babín","50","029 52","Hruštín",,"Martin Matys",,"043","557 72 07","557 72 21","0905 569 465","obecbabin@orava.sk","www.babin.sk","18","http://www.e-obce.sk/obecedit.html?id=18","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"18","00332241","Babie","00332241","Prešovský","255","1330","Obecný úrad",,"9","094 31","Hanušovce nad Topľou",,"Martina Hliboká",,"057","445 23 30",,"0908 988 128","ocubabie@slovanet.sk","www.babie.ocu.sk","17","http://www.e-obce.sk/obecedit.html?id=17","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"19","35626348","Babindol","35626348","Nitriansky","692","1271","Obecný úrad","Babindol","140","951 53","Klasov",,"Ing. Peter Ďurica",,"037","788 31 78","788 31 78","0904 607 745,0905 230 652","obec@babindol.sk;babindol@babindol.sk","www.babindol.sk","20","http://www.e-obce.sk/obecedit.html?id=20","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"20","00319732","Babiná","00319732","Pliešovská kotlina","527","1254","Obecný úrad","Horná","97/2","962 61","Dobrá Niva",,"Jana Gregušová",,"045","538 41 16","538 42 25","0905 265 002,0903 511 845","obec@babina.sk;ekonom@babina.sk;spravca@babina.sk;podatelna@babina.sk","www.babina.sk","19","http://www.e-obce.sk/obecedit.html?id=19","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"21","00649678","Babinec","00649678","Teplý Vrch","68","1407","Obecný úrad","Babinec",,"980 26","Lukovištia",,"Bc. Jaroslav Benda",,"047",,,"0903 550 892","babinec2010@gmail.com;ocu@babinec.info","www.babinec.info","21","http://www.e-obce.sk/obecedit.html?id=21","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"22","37869540","Bádice","37869540","Podzoborský","318","1235","Obecný úrad","Obchodná","137","951 46","Podhorany",,"Július Gál",,"037","778 52 02",,"0910 487 944","obecbadice@azet.sk","www.badice.ocu.sk","24","http://www.e-obce.sk/obecedit.html?id=24","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"23","00650587","Bacúrov","00650587","Adela","158","1255","Obecný úrad","Bacúrov","75","962 61","Dobrá Niva",,"Katarína Zlámalová",,"045","538 71 25",,"0903 811 296","obecbacurov@stonline.sk","www.bacurov.sk","23","http://www.e-obce.sk/obecedit.html?id=23","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"24","00313254","Bacúch","00313254","Horehron","995","1563","Obecný úrad","Hlavná","279","976 65","Bacúch",,"Ing. František Kán",,"048","618 83 01","618 83 83","0903 296 239","obecnyurad@bacuch.sk;starosta@bacuch.sk","www.bacuch.sk","22","http://www.e-obce.sk/obecedit.html?id=22","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"25","00313262","Badín","00313262","Pozdola Bystrice","1858","1232","Obecný úrad","Sládkovičova","4","976 32","Badín",,"Pavol Hric",,"048","418 26 01,418 20 92","418 26 84","0905 499 323","badin@obecbadin.sk","www.obecbadin.sk","25","http://www.e-obce.sk/obecedit.html?id=25","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"26","00305251","Báč","00305251","Dunajskostredský","562","1319","Obecný úrad","Báč","124","930 30","Rohovce",,"Mgr. Helena Vonyiková",,"031","559 82 39","550 99 24",,"urad@obecbac.sk","www.obecbac.sk","26","http://www.e-obce.sk/obecedit.html?id=26","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"27","00331287","Bačkov","00331287","Trebišovský","638","1320","Obecný úrad","Hlavná","201","076 61","Bačkov",,"Jozef Nemčík",,"056","678 34 51","678 34 51","0907 920 423","obecbackov@centrum.sk",,"28","http://www.e-obce.sk/obecedit.html?id=28","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"28","00331279","Bačka","00331279","Zemplín","651","1214","Obecný úrad","Hlavná","130","076 84","Leles",,"Ladislav Kosztyu",,"056","628 22 50","632 15 59","0905 760 525","obecbacka@stonline.sk",,"27","http://www.e-obce.sk/obecedit.html?id=27","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"29","00304654","Báhoň","00304654","Malokarpatský","1700","1244","Obecný úrad","SNP","65","900 84","Báhoň",,"Ing. Ivan Patoprstý",,"033","645 51 93,645 53 40","645 53 40","0907 891 542","starosta@bahon.sk","www.bahon.sk","30","http://www.e-obce.sk/obecedit.html?id=30","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"30","00323934","Bačkovík","00323934","Abovský","454","1329","Obecný úrad",,"41","044 45","Bidovce",,"Milan Gábor",,"055","696 42 06","696 42 06","0908 096 671","obecbackovik@stonline.sk","www.backovik.ou.sk","29","http://www.e-obce.sk/obecedit.html?id=29","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"31","00324990","Bajany","00324990","Zemplínsky","489","1370","Obecný úrad","Bajany","161","072 54","Lekárovce",,"Bc. František Genco",,"056","649 42 31",,"0915 878 727","oubajany@zoznam.sk","www.bajany.sk","32","http://www.e-obce.sk/obecedit.html?id=32","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"32","00320480","Baďan","00320480","Sitno","207","1262","Obecný úrad","Baďan","11","969 75","Baďan",,"Mgr. Ľubica Kuková",,"045","672 66 24,25","672 66 26","0918 892 842","obec.badan@gmail.com","www.badan.webnode.sk","31","http://www.e-obce.sk/obecedit.html?id=31","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"33","00800309","Bajka","00800309","Tekov","332","1286","Obecný úrad","Bajka","15","935 51","Tekovský Hrádok",,"Alojz Štrba",,"036","772 81 43","772 81 43","0911 241 565","obecbajka@gmail.com;starostka@bajka.sk","www.bajka.sk","36","http://www.e-obce.sk/obecedit.html?id=36","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"34","00306363","Bajč","00306363","Podunajsko","1249","1813","Obecný úrad","Bajč","130","946 54","Bajč",,"Oto Virág",,"035","768 11 39","768 11 34","0918 458 076","ocubajc@stonline.sk","www.bajc.sk","33","http://www.e-obce.sk/obecedit.html?id=33","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"35","00326801","Bajerov","00326801","Prešovský","446","1332","Obecný úrad",,,"082 41","Bajerov",,"Vladimír Mrúz",,"051","778 31 18",,"0918 451 887,0918 835 754","obecbajerov@centrum.sk","www.bajerov.ocu.sk","34","http://www.e-obce.sk/obecedit.html?id=34","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"36","00305260","Baka","00305260","Dunajskostredský","1118","1264","Obecný úrad","Baka","262","930 04","Baka",,"Ing. Juraj Bertalan",,"031","559 47 16","559 47 16","0905 409 687","obecbaka@stonline.sk","www.obecbaka.sk","38","http://www.e-obce.sk/obecedit.html?id=38","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"37","00326810","Bajerovce","00326810","Prešovský","303","1366","Obecný úrad",,"114","082 73","Šarišské Dravce",,"Michal Sekerák",,"051","459 73 36",,,"obec@bajerovce.sk","www.bajerovce.sk","35","http://www.e-obce.sk/obecedit.html?id=35","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"38","00308757","Bajtava","00308757","Dolné Poiplie","408","1261","Obecný úrad","Bajtava","86","943 65","Kamenica nad Hronom",,"Jozef Benkó",,"036","757 51 28","757 51 28","0905 573 035","oubajtava@stonline.sk;oubajtava@mail.t-com.sk;","www.bajtava.ocu.sk","37","http://www.e-obce.sk/obecedit.html?id=37","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"39","00313297","Baláže","00313297","Pod Panským Dielom","220","1529","Obecný úrad","Baláže","11","976 11","Selce",,"Jozef Chaban",,"048","419 60 79","419 60 79","0949 427 268","starosta@balaze.sk","www.balaze.sk","39","http://www.e-obce.sk/obecedit.html?id=39","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"40","00328936","Baldovce","00328936","Spiš","176","1272","Obecný úrad",,"46","053 04","Spišské Podhradie",,"Vladimír Chovanec",,"053","454 25 22","454 23 07","0918 159 048","obec.baldovce@spisnet.sk",,"40","http://www.e-obce.sk/obecedit.html?id=40","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"41","00319228","Balog nad Ipľom","00319228","Hontiansko-Ipeľský","830","1232","Obecný úrad","Hlavná","75","991 11","Balog nad Ipľom",,"Peter Bálint",,"047","488 51 17","488 51 31","0905 492 688","info@balognadiplom.sk","www.balognadiplom.sk","41","http://www.e-obce.sk/obecedit.html?id=41","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"42","00305278","Baloň","00305278","Podunajský","757","1252","Obecný úrad","Baloň","22","930 08","Čiližská Radvaň",,"Matus Frigyes",,"031","554 12 04,554 21 17","554 21 17","0903 415 709","obecbalon@mail.t-com.sk;matus.starosta@mail.t-com.sk","www.obecbalon.sk","42","http://www.e-obce.sk/obecedit.html?id=42","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"43","35594233","Banka","35594233","ZMO - Jaslovské Bohunice","2124","1241","Obecný úrad","Topoľčianska cesta","23","921 01","Banka",,"Mgr. Tatiana Julinyová",,"033","771 88 29, 774 51 77","771 88 30","0944 123 360","info@obecbanka.sk;starosta@obecbanka.sk","www.obecbanka.sk","43","http://www.e-obce.sk/obecedit.html?id=43","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"44","00308765","Bánov","00308765","Šurany-Bánov-Lipová","3709","1113","Obecný úrad","Hviezdoslavova","34","941 01","Bánov",,"PhDr. Helena Juríková",,"035","657 11 42,650 60 21,22","657 11 42","0905 420 283","oubanov@banov.sk","www.banov.sk","44","http://www.e-obce.sk/obecedit.html?id=44","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"45","00310182","Bánovce nad Bebravou","00310182","Trenčianský","19323","1234","Mestský úrad","Nám. Ľ. Štúra","1/1","957 01","Bánovce nad Bebravou","Marián Chovanec",,"JUDr. Alexandra Gieciová","038","76 29 111, 76 29 102, 76 29 103","760 30 84","0905 910 068,0948 331 899","podatelna@banovce.sk;primator@banovce.sk;prednosta@banovce.sk;info@banovce.sk","www.banovce.sk","45","http://www.e-obce.sk/obecedit.html?id=45","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"46","00320498","Banská Belá","00320498","Žiarsky","1234","1228","Obecný úrad","Banská Belá","298","966 15","Banská Belá",,"MVDr. Branislav Babirád",,"045","693 32 21","693 32 21","0911 978 862","ou-b.bela@mail.t-com.sk","www.banskabela.sk","47","http://www.e-obce.sk/obecedit.html?id=47","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"47","00313271","Banská Bystrica","00313271","Horehron","79583","1255","Mestský úrad","ČSA","26","975 39","Banská Bystrica","MUDr. Ján Nosko",,"JUDr. Martin Adamec","048","4330 321, 4330 322, 4330 101,102, 0800 14 15 14","411 35 75",,"kancelariaprimatora@banskabystrica.sk;primator@banskabystrica.sk;podatelna@banskabystrica.sk;sekretariatmsu@banskabystrica.sk;prednosta@banskabystrica.sk","www.banskabystrica.sk","48","http://www.e-obce.sk/obecedit.html?id=48","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"48","00325015","Bánovce nad Ondavou","00325015","Zemplínsky","711","1326","Obecný úrad","Bánovce nad Ondavou","191","072 04","Trhovište",,"Ľudmila Ďurčáková",,"056","649 53 11",,"0911 566 435","ocu.banovce@mail.t-com.sk","www.banovcenadondavou.sk","46","http://www.e-obce.sk/obecedit.html?id=46","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"49","00320501","Banská Štiavnica","00320501","Sitno","10330","1156","Mestský úrad","Radničné námestie","1","969 24","Banská Štiavnica 1","Mgr. Nadežda Babiaková",,"Ing. Ivana Ondrejmišková","045","694 96 11,12,40","694 96 20,692 12 07","0905 525 941,0917 146 331","msu@banskastiavnica.sk;nadezda.babiakova@banskastiavnica.sk;ivana.ondrejmiskova@banskastiavnica.sk","www.banskastiavnica.sk","49","http://www.e-obce.sk/obecedit.html?id=49","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"50","00320510","Banský Studenec","00320510","Sitno","458","1266","Obecný úrad","Banský Studenec","60","969 01","Banský Studenec",,"Pavol Santoris",,"045","691 16 71,692 24 39","691 16 71","0903 459 751","ocub.studenec@stonline.sk;starosta@banskystudenec.sk;sekretariat@banskystudenec.sk","www.banskystudenec.sk","51","http://www.e-obce.sk/obecedit.html?id=51","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"51","00332259","Banské","00332259","Prešovský","1687","1397","Obecný úrad",,"320","094 12","Vranov nad Topľou",,"Štefan Petruň",,"057","488 04 82","488 04 82","0907 998 491","obecbanske@wmx.sk","www.banske.sk","50","http://www.e-obce.sk/obecedit.html?id=50","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"52","00321842","Bardejov","00321842","Horný Šariš","33362","1241","Mestský úrad","Radničné námestie","16","085 01","Bardejov","MUDr. Boris Hanuščák",,"Ing. Juraj Popjak","054","486 21 22, 24;486 21 27","472 24 76","0903 903 475","primator@bardejov.sk","www.bardejov.sk;www.msu.bardejov.sk","55","http://www.e-obce.sk/obecedit.html?id=55","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"53","00330281","Baňa","00330281","Ondava","176","1957","Obecný úrad",,"47","091 01","Stropkov",,"František Šlang",,"054","742 27 09",,"0903 374 242","ocubana@capur.net",,"52","http://www.e-obce.sk/obecedit.html?id=52","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"54","00331295","Bara","00331295","Košický","336","1296","Obecný úrad",,"7","076 32","Borša",,"Albert Csizmadia",,"056","679 22 43","679 22 43","0905 753 816","obecbara@kid.sk","www.bara.ocu.sk","53","http://www.e-obce.sk/obecedit.html?id=53","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"55","00649520","Barca","00649520","Gemer","533","1334","Obecný úrad","Barca","24","982 51","Figa",,"Richard Szajkó",,"047","569 72 27","569 72 27","0905 794 098","oubarca@post.sk","www.obecbarca.webnode.sk","54","http://www.e-obce.sk/obecedit.html?id=54","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"56","00308773","Bardoňovo","00308773","Thermal Podhájska","774","1269","Obecný úrad","Bardoňovo","124","941 49","Bardoňovo",,"Tibor Černák",,"035","651 71 17","651 71 17","0915 757 673","starosta@obecbardonovo.sk;info@obecbardonovo.sk;podatelna@obecbardonovo.sk","www.obecbardonovo.sk","56","http://www.e-obce.sk/obecedit.html?id=56","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"57","00320528","Bartošova Lehôtka","00320528","Kremnický","393","1396","Obecný úrad","Bartošova Lehôtka","80","967 01","Kremnica",,"Ľubomír Bielik",,"045","672 62 66","679 41 20","0918 919 874","obecbartosovalehotka@stonline.sk","www.bartosovalehotka.sk","57","http://www.e-obce.sk/obecedit.html?id=57","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"58","00321851","Bartošovce","00321851","Horný Šariš","703","1427","Obecný úrad",,"148","086 42","Hertník",,"Václav Hudák",,"054","479 12 01,488 36 90,488 36 91","479 12 01","0918 450 727","obec.bartosovce@isomi.sk;obec.bartosovce@wi-net.sk","www.bartosovce.ocu.sk;http://bartosovce.isomi.sk","58","http://www.e-obce.sk/obecedit.html?id=58","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"59","00326119","Batizovce","00326119","Spiš","2256","1264","Obecný úrad","Štúrova","29/2","059 35","Batizovce",,"Gabriel Bodnár",,"052","775 81 96,775 63 12","775 63 12","0915 126 223","oubatizovce@stonline.sk","www.obecbatizovce.sk","59","http://www.e-obce.sk/obecedit.html?id=59","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"60","00318604","Bátka","00318604","Gemer","942","1294","Obecný úrad","Bátka","161","980 21","Bátka",,"Peter Hencz",,"047","569 71 01","581 16 83","0918 884 855","ocu.batka@rsnet.sk","www.obecbatka.webnode.sk","60","http://www.e-obce.sk/obecedit.html?id=60","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"61","00306711","Bátorove Kosihy","00306711","Dolný žitný ostrov","3427","1156","Obecný úrad","Bátorove Kosihy","873","946 34","Bátorové Kosihy",,"Mgr. Roland Labancz",,"035","761 17 20,21,22,30,31","761 17 20","0905 625 600","batorovekosihy@batorovekosihy.sk;starosta@batorovekosihy.sk","www.batorovekosihy.sk","62","http://www.e-obce.sk/obecedit.html?id=62","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"62","00649333","Bátorová","00649333","Hontiansko-Novohradský","367","1478","Obecný úrad","Bátorová","88","991 26","Nenince",,"Daniela Lichvárová",,"047","451 40 93, 94","451 40 95","0918 477 049","batorova@gmail.com;starosta@batorova.sk;info@batorova.sk;sekretariat@batorova.sk","www.batorova.sk","61","http://www.e-obce.sk/obecedit.html?id=61","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"63","00306771","Bátovce","00306771","Tekov","1075","1320","Obecný úrad","Bátovce","2","935 03","Bátovce",,"Peter Burčo",,"036","639 41 01-2","639 41 02","0918 385 494","ocubatovce@stonline.sk","http://batovce.e-obce.sk;www.batovce.sk;www.batovcan.sk","63","http://www.e-obce.sk/obecedit.html?id=63","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"64","00323942","Baška","00323942","Abovský","424","1247","Obecný úrad","Baška","71","040 16","Košice 16",,"Ján Serbin",,"055","685 31 16,789 48 58",,,"urad@baska-obec.sk","www.baska-obec.sk","64","http://www.e-obce.sk/obecedit.html?id=64","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"65","00325007","Baškovce","00325007","Košický","249","1427","Obecný úrad","Baškovce","29","073 01","Baškovce pri Sobranciach",,"Mgr. Viera Lukáčová",,"056","652 23 37",,"0904 893 599","obecbaskovce@szm.sk","www.baskovce.sk","65","http://www.e-obce.sk/obecedit.html?id=65","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"66","00322806","Baškovce","00322806","Humenné","408","1410","Obecný úrad",,"37","067 23","Baškovce",,"František Bazar",,"057","788 02 36","788 02 36","0915 960 615","baskovce@stonline.sk","www.baskovce.ocu.sk","66","http://www.e-obce.sk/obecedit.html?id=66","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"67","31827802","Bašovce","31827802","ZMO - Jaslovské Bohunice","343","1113","Obecný úrad","Bašovce","160","922 01","Ostrov",,"Ing. Ľubomír Dekan",,"033","774 68 59","774 68 59","0911 159 828","obecnyurad@basovce.sk;starosta@basovce.sk","www.basovce.sk","67","http://www.e-obce.sk/obecedit.html?id=67","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"68","00321869","Becherov","00321869","Horný Šariš","260","1414","Obecný úrad",,"135","086 35","Becherov",,"Jozef Gmiterko",,"054","479 83 16","479 83 16","0948 377 080","becherov@pobox.sk","www.becherov.host.sk","68","http://www.e-obce.sk/obecedit.html?id=68","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"69","00321168","Belá","00321168","Horné Považie","3376","1378","Obecný úrad","Oslobodenia","183","013 05","Belá",,"Ing. Matúš Krajči","Mgr. Peter Šugár","041","569 33 31","569 34 21","0915 891 604,0948 410 070","starosta@bela.sk;prednosta@bela.sk;sekretariat@bela.sk;matus.krajci@gmail.com","www.bela.sk","72","http://www.e-obce.sk/obecedit.html?id=72","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"70","00311413","Beckov","00311413","Trenčianský","1349","1208","Obecný úrad","Beckov","180","916 38","Beckov",,"Ing. Ján Križan",,"032","777 71 25 ,774 27 20","774 27 26","0915 736 779,0905 506 021","beckov@obec-beckov.sk;starosta@obec-beckov.sk","www.obec-beckov.sk","69","http://www.e-obce.sk/obecedit.html?id=69","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"71","00308781","Belá","00308781","Južný","375","1138","Obecný úrad","Belá","32","943 53","Ľubá",,"Michal Varga",,"036","758 61 11","758 61 35","0917 323 961","oubela@mail.viapvt.sk","www.obecbela.sk","71","http://www.e-obce.sk/obecedit.html?id=71","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"72","00328944","Beharovce","00328944","Prešovský","164","1338","Obecný úrad",,"57","053 05","Beharovce",,"Igor Polomský",,"053","459 62 27","459 62 27","0908 904 388","igor.polomsky@centrum.sk",,"70","http://www.e-obce.sk/obecedit.html?id=70","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"73","00307769","Beladice","00307769","Podtribečie Drevenica","1583","1156","Obecný úrad","Gaštanová","167","951 75","Beladice",,"Miroslav Lisý",,"037","633 02 92","633 02 27","0905 288 513","beladice1@stonline.sk","www.obecbeladice.szm.sk","75","http://www.e-obce.sk/obecedit.html?id=75","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"74","00316563","Belá - Dulice","00316563","Turiec","1262","1282","Obecný úrad","Belá - Dulice","86","038 11","Belá pri Martine",,"Igor Kapusta",,"043","429 71 38","429 71 38","0907 849 045","obec@beladulice.sk;starosta@beladulice.sk","www.beladulice.sk","73","http://www.e-obce.sk/obecedit.html?id=73","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"75","00322814","Belá nad Cirochou","00322814","Zemplín","3380","1451","Obecný úrad","Osloboditeľov","652/23","067 81","Belá nad Cirochou",,"Ján Vajda",,"057","768 31 26,758 20 80","768 31 26","0907 251 090","obecbelanadcirochou@gmail.com","www.belanadcirochou.sk","74","http://www.e-obce.sk/obecedit.html?id=74","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
"76","00330299","Belejovce","00330299","Šariš","22","1600","Obecný úrad",,,"089 01","Svidník",,"Marcel Sopoliga",,"054","759 43 21",,,"sopoliga@pobox.sk",,"76","http://www.e-obce.sk/obecedit.html?id=76","1449143784","1449145161","0",NULL,"2015-12-03 13:19:21"
